x [ft],Axial [lbf],Shear [lbf],Moment [lbf.ft],Deflection [m]
0.115,0,-11.526,-0.664,-0.0
0.116,0,-11.556,-0.668,-0.0
0.116,0,-11.586,-0.671,-0.0
0.116,0,-11.615,-0.675,-0.0
0.116,0,-11.645,-0.678,-0.0
0.117,0,-11.675,-0.681,-0.0
0.117,0,-11.704,-0.685,-0.0
0.117,0,-11.734,-0.688,-0.0
0.118,0,-11.763,-0.692,-0.0
0.118,0,-11.793,-0.695,-0.0
0.118,0,-11.823,-0.699,-0.0
0.119,0,-11.852,-0.702,-0.0
0.119,0,-11.882,-0.706,-0.0
0.119,0,-11.912,-0.709,-0.0
0.119,0,-11.941,-0.713,-0.0
0.12,0,-11.971,-0.717,-0.0
0.12,0,-12.0,-0.72,-0.0
0.12,0,-12.03,-0.724,-0.0
0.121,0,-12.06,-0.727,-0.0
0.121,0,-12.089,-0.731,-0.0
0.121,0,-12.119,-0.734,-0.0
0.121,0,-12.149,-0.738,-0.0
0.122,0,-12.178,-0.742,-0.0
0.122,0,-12.208,-0.745,-0.0
0.122,0,-12.237,-0.749,-0.0
0.123,0,-12.267,-0.752,-0.0
0.123,0,-12.297,-0.756,-0.0
0.123,0,-12.326,-0.76,-0.0
0.124,0,-12.356,-0.763,-0.0
0.124,0,-12.386,-0.767,-0.0
0.124,0,-12.415,-0.771,-0.0
0.124,0,-12.445,-0.774,-0.0
0.125,0,-12.475,-0.778,-0.0
0.125,0,-12.504,-0.782,-0.0
0.125,0,-12.534,-0.785,-0.0
0.126,0,-12.563,-0.789,-0.0
0.126,0,-12.593,-0.793,-0.0
0.126,0,-12.623,-0.797,-0.0
0.127,0,-12.652,-0.8,-0.0
0.127,0,-12.682,-0.804,-0.0
0.127,0,-12.712,-0.808,-0.0
0.127,0,-12.741,-0.812,-0.0
0.128,0,-12.771,-0.815,-0.0
0.128,0,-12.8,-0.819,-0.0
0.128,0,-12.83,-0.823,-0.0
0.129,0,-12.86,-0.827,-0.0
0.129,0,-12.889,-0.831,-0.0
0.129,0,-12.919,-0.835,-0.0
0.129,0,-12.949,-0.838,-0.0
0.13,0,-12.978,-0.842,-0.0
0.13,0,-13.008,-0.846,-0.0
0.13,0,-13.038,-0.85,-0.0
0.131,0,-13.067,-0.854,-0.0
0.131,0,-13.097,-0.858,-0.0
0.131,0,-13.126,-0.862,-0.0
0.132,0,-13.156,-0.865,-0.0
0.132,0,-13.186,-0.869,-0.0
0.132,0,-13.215,-0.873,-0.0
0.132,0,-13.245,-0.877,-0.0
0.133,0,-13.275,-0.881,-0.0
0.133,0,-13.304,-0.885,-0.0
0.133,0,-13.334,-0.889,-0.0
0.134,0,-13.363,-0.893,-0.0
0.134,0,-13.393,-0.897,-0.0
0.134,0,-13.423,-0.901,-0.0
0.135,0,-13.452,-0.905,-0.0
0.135,0,-13.482,-0.909,-0.0
0.135,0,-13.512,-0.913,-0.0
0.135,0,-13.541,-0.917,-0.0
0.136,0,-13.571,-0.921,-0.0
0.136,0,-13.601,-0.925,-0.0
0.136,0,-13.63,-0.929,-0.0
0.137,0,-13.66,-0.933,-0.0
0.137,0,-13.689,-0.937,-0.0
0.137,0,-13.719,-0.941,-0.0
0.137,0,-13.749,-0.945,-0.0
0.138,0,-13.778,-0.949,-0.0
0.138,0,-13.808,-0.953,-0.0
0.138,0,-13.838,-0.957,-0.0
0.139,0,-13.867,-0.961,-0.0
0.139,0,-13.897,-0.966,-0.0
0.139,0,-13.926,-0.97,-0.0
0.14,0,-13.956,-0.974,-0.0
0.14,0,-13.986,-0.978,-0.0
0.14,0,-14.015,-0.982,-0.0
0.14,0,-14.045,-0.986,-0.0
0.141,0,-14.075,-0.99,-0.0
0.141,0,-14.104,-0.995,-0.0
0.141,0,-14.134,-0.999,-0.0
0.142,0,-14.163,-1.003,-0.0
0.142,0,-14.193,-1.007,-0.0
0.142,0,-14.223,-1.011,-0.0
0.143,0,-14.252,-1.016,-0.0
0.143,0,-14.282,-1.02,-0.0
0.143,0,-14.312,-1.024,-0.0
0.143,0,-14.341,-1.028,-0.0
0.144,0,-14.371,-1.033,-0.0
0.144,0,-14.401,-1.037,-0.0
0.144,0,-14.43,-1.041,-0.0
0.145,0,-14.46,-1.045,-0.0
0.145,0,-14.489,-1.05,-0.0
0.145,0,-14.519,-1.054,-0.0
0.145,0,-14.549,-1.058,-0.0
0.146,0,-14.578,-1.063,-0.0
0.146,0,-14.608,-1.067,-0.0
0.146,0,-14.638,-1.071,-0.0
0.147,0,-14.667,-1.076,-0.0
0.147,0,-14.697,-1.08,-0.0
0.147,0,-14.726,-1.084,-0.0
0.148,0,-14.756,-1.089,-0.0
0.148,0,-14.786,-1.093,-0.0
0.148,0,-14.815,-1.097,-0.0
0.148,0,-14.845,-1.102,-0.0
0.149,0,-14.875,-1.106,-0.0
0.149,0,-14.904,-1.111,-0.0
0.149,0,-14.934,-1.115,-0.0
0.15,0,-14.964,-1.12,-0.0
0.15,0,-14.993,-1.124,-0.0
0.15,0,-15.023,-1.128,-0.0
0.151,0,-15.052,-1.133,-0.0
0.151,0,-15.082,-1.137,-0.0
0.151,0,-15.112,-1.142,-0.0
0.151,0,-15.141,-1.146,-0.0
0.152,0,-15.171,-1.151,-0.0
0.152,0,-15.201,-1.155,-0.0
0.152,0,-15.23,-1.16,-0.0
0.153,0,-15.26,-1.164,-0.0
0.153,0,-15.289,-1.169,-0.0
0.153,0,-15.319,-1.173,-0.0
0.153,0,-15.349,-1.178,-0.0
0.154,0,-15.378,-1.182,-0.0
0.154,0,-15.408,-1.187,-0.0
0.154,0,-15.438,-1.192,-0.0
0.155,0,-15.467,-1.196,-0.0
0.155,0,-15.497,-1.201,-0.0
0.155,0,-15.527,-1.205,-0.0
0.156,0,-15.556,-1.21,-0.0
0.156,0,-15.586,-1.215,-0.0
0.156,0,-15.615,-1.219,-0.0
0.156,0,-15.645,-1.224,-0.0
0.157,0,-15.675,-1.228,-0.0
0.157,0,-15.704,-1.233,-0.0
0.157,0,-15.734,-1.238,-0.0
0.158,0,-15.764,-1.242,-0.0
0.158,0,-15.793,-1.247,-0.0
0.158,0,-15.823,-1.252,-0.0
0.159,0,-15.852,-1.256,-0.0
0.159,0,-15.882,-1.261,-0.0
0.159,0,-15.912,-1.266,-0.0
0.159,0,-15.941,-1.271,-0.0
0.16,0,-15.971,-1.275,-0.0
0.16,0,-16.001,-1.28,-0.0
0.16,0,-16.03,-1.285,-0.0
0.161,0,-16.06,-1.29,-0.0
0.161,0,-16.089,-1.294,-0.0
0.161,0,-16.119,-1.299,-0.0
0.161,0,-16.149,-1.304,-0.0
0.162,0,-16.178,-1.309,-0.0
0.162,0,-16.208,-1.313,-0.0
0.162,0,-16.238,-1.318,-0.0
0.163,0,-16.267,-1.323,-0.0
0.163,0,-16.297,-1.328,-0.0
0.163,0,-16.327,-1.333,-0.0
0.164,0,-16.356,-1.338,-0.0
0.164,0,-16.386,-1.342,-0.0
0.164,0,-16.415,-1.347,-0.0
0.164,0,-16.445,-1.352,-0.0
0.165,0,-16.475,-1.357,-0.0
0.165,0,-16.504,-1.362,-0.0
0.165,0,-16.534,-1.367,-0.0
0.166,0,-16.564,-1.372,-0.0
0.166,0,-16.593,-1.377,-0.0
0.166,0,-16.623,-1.382,-0.0
0.167,0,-16.652,-1.387,-0.0
0.167,0,-16.682,-1.391,-0.0
0.167,0,-16.712,-1.396,-0.0
0.167,0,-16.741,-1.401,-0.0
